question_number,subject,topic,type,question_text,option_a,option_b,option_c,option_d,correct_option,correct_answer,answer_tolerance,difficulty,exam_year,marks,tags,theory_title,theory_text,needs_review,review_reason
97,Computer Science,Engineering Mathematics,nat,"A box contains 5 coins: 4 regular coins and 1 fake coin. When a regular coin is tossed, the probability P(head) = 0.5 and for a fake coin, P(head) = 1. You pick a coin at random and toss it twice, and get two heads. The probability that the coin you have chosen is the fake coin is _______. (rounded off to two decimal places)",,,,,,0.50,0.01,Medium,2025,1,PYQ;GATE 2025,,,,
98,Computer Science,Algorithms,nat,"The pseudocode of a function fun() is given below (bubble sort): fun(int A[0,...,n-1]){ for i=0 to n-2 for j=0 to n-i-2 if (A[j]>A[j+1]) then swap A[j] and A[j+1] }. Let A[0,...,29] be an array storing 30 distinct integers in descending order. The number of swap operations that will be performed, if the function fun() is called with A[0,...,29] as argument, is __________.",,,,,,435,0,Easy,2025,1,PYQ;GATE 2025,,,,
99,Computer Science,Programming and Data Structures,nat,"#include <stdio.h>
void foo(int *p, int x){ *p=x; }
int main(){ int *z; int a=20, b=25; z=&a; foo(z,b); printf(""%d"",a); return 0; }
The output of the given C program is __________.",,,,,,25,0,Easy,2025,1,PYQ;GATE 2025,,,,
100,Computer Science,Programming and Data Structures,nat,The height of any rooted tree is defined as the maximum number of edges in the path from the root node to any leaf node. Suppose a Min-Heap T stores 32 keys. The height of T is _____________.,,,,,,5,0,Easy,2025,1,PYQ;GATE 2025,,,,
101,Computer Science,Computer Organization and Architecture,mcq,"Consider a memory system with 1M bytes of main memory and 16K bytes of cache memory. Assume that the processor generates 20-bit memory address, and the cache block size is 16 bytes. If the cache uses direct mapping, how many bits will be required to store all the tag values? [Assume memory is byte addressable, 1K=2^10, 1M=2^20.]",6 x 2^10,8 x 2^10,2^12,2^14,A,,,Medium,2025,2,PYQ;GATE 2025,,,,
102,Computer Science,Computer Organization and Architecture,mcq,"A processor has 64 general-purpose registers and 50 distinct instruction types. An instruction is encoded in 32-bits. What is the maximum number of bits that can be used to store the immediate operand for the given instruction? ADD R1, #25 // R1 = R1 + 25",16,20,22,24,B,,,Medium,2025,2,PYQ;GATE 2025,,,,
103,Computer Science,Operating System,mcq,"A computer has two processors, M1 and M2. Four processes P1, P2, P3, P4 with CPU bursts of 20, 16, 25, and 10 milliseconds, respectively, arrive at the same time and these are the only processes in the system. The scheduler uses non-preemptive priority scheduling, with priorities decided as follows: M1 uses priority P1 > P3 > P2 > P4; M2 uses priority P2 > P3 > P4 > P1. A process Pi is scheduled to a processor Mk, if the processor is free and no other process Pj is waiting with higher priority. At any given point of time, a process can be allocated to any one of the free processors without violating the execution priority rules. Ignore the context switch time. What will be the average waiting time of the processes in milliseconds?",9.00,8.75,6.50,7.50,A,,,Hard,2025,2,PYQ;GATE 2025,,,,
104,Computer Science,Databases,mcq,"Consider two relations describing teams and players in a sports league: teams(tid,tname): tid, tname are team-id and team-name, respectively; players(pid,pname,tid): pid, pname, and tid denote player-id, player-name and the team-id of the player, respectively. Which ONE of the following tuple relational calculus queries returns the name of the players who play for the team having tname as 'MI'?",{ p.pname | p in players AND exists t (t in teams AND p.tid = t.tid AND t.tname = 'MI')},{ p.pname | p in teams AND exists t (t in players AND p.tid = t.tid AND t.tname = 'MI')},{ p.pname | p in players AND exists t (t in teams AND t.tname = 'MI')},{ p.pname | p in teams AND exists t (t in players AND t.tname = 'MI')},A,,,Medium,2025,2,PYQ;GATE 2025,,,,
105,Computer Science,Computer Networks,mcq,A packet with the destination IP address 145.36.109.70 arrives at a router whose routing table is shown (Subnet 145.36.0.0/16 -> E1; 145.36.128.0/17 -> E2; 145.36.64.0/18 -> E3; 145.36.255.0/24 -> E4; Default -> E5). Which interface will the packet be forwarded to?,E3,E1,E2,E5,A,,,Medium,2025,2,PYQ;GATE 2025,,,,
106,Computer Science,Engineering Mathematics,mcq,"Let A be a 2x2 matrix as given: A = [[1,1],[1,-1]]. What are the eigenvalues of the matrix A^13?","1, -1","2*sqrt(2), -2*sqrt(2)","4*sqrt(2), -4*sqrt(2)","64*sqrt(2), -64*sqrt(2)",D,,,Hard,2025,2,PYQ;GATE 2025,,,,
107,Computer Science,Digital Logic,mcq,"Consider the following four variable Boolean function in sum-of-product form F(b3,b2,b1,b0) = Sum(0,2,4,8,10,11,12), where the value of the function is computed by considering b3b2b1b0 as a 4-bit binary number, where b3 denotes the most significant bit and b0 denotes the least significant bit. Note that there are no don't care terms. Which ONE of the following options is the CORRECT minimized Boolean expression for F?",b1'b0' + b2'b0' + b1 b2'b3,b1'b0' + b2'b0',b2'b0' + b1b2b3,b0'b2' + b3',A,,,Medium,2025,2,PYQ;GATE 2025,,,,
108,Computer Science,Algorithms,mcq,"Let G(V,E) be an undirected and unweighted graph with 100 vertices. Let d(u,v) denote the number of edges in a shortest path between vertices u and v in V. Let the maximum value of d(u,v), u,v in V such that u != v, be 30. Let T be any breadth-first-search tree of G. Which ONE of the given options is CORRECT for every such graph G?",The height of T is exactly 15.,The height of T is exactly 30.,The height of T is at least 15.,The height of T is at least 30.,C,,,Medium,2025,2,PYQ;GATE 2025,,,,
109,Computer Science,Theory of Computation,mcq,"Consider the following two languages over the alphabet {a,b}: L1 = { alpha beta alpha | alpha in {a,b}+ AND beta in {a,b}+ }; L2 = { alpha beta alpha | alpha in {a}+ AND beta in {a,b}+ }. Which ONE of the following statements is CORRECT?",Both L1 and L2 are regular languages.,L1 is a regular language but L2 is not a regular language.,L1 is not a regular language but L2 is a regular language.,Neither L1 nor L2 is a regular language.,C,,,Hard,2025,2,PYQ;GATE 2025,,,,
110,Computer Science,Theory of Computation,mcq,"Consider the following two languages over the alphabet {a,b,c}, where m and n are natural numbers. L1 = {a^m b^m c^(m+n) | m,n>=1}; L2 = {a^m b^n c^(m+n) | m,n>=1}. Which ONE of the following statements is CORRECT?",Both L1 and L2 are context-free languages.,L1 is a context-free language but L2 is not a context-free language.,L1 is not a context-free language but L2 is a context-free language.,Neither L1 nor L2 are context-free languages.,C,,,Hard,2025,2,PYQ;GATE 2025,,,,
111,Computer Science,Compiler Design,msq,Which of the following statement(s) is/are TRUE while computing First and Follow during top down parsing by a compiler?,"For a production A -> epsilon, epsilon will be added to First(A).","If there is any input right end marker, it will be added to First(S), where S is the start symbol.","For a production A -> epsilon, epsilon will be added to Follow(A).","If there is any input right end marker, it will be added to Follow(S), where S is the start symbol.","A,D",,,Medium,2025,2,PYQ;GATE 2025,,,,
112,Computer Science,Databases,msq,"Consider a relational schema team(name,city,owner), with functional dependencies {name -> city, name -> owner}. The relation team is decomposed into two relations, t1(name,city) and t2(name,owner). Which of the following statement(s) is/are TRUE?",The relation team is NOT in BCNF.,The relations t1 and t2 are in BCNF.,The decomposition constitutes a lossless join.,The relation team is NOT in 3NF.,"B,C",,,Medium,2025,2,PYQ;GATE 2025,,,,
113,Computer Science,Engineering Mathematics,msq,"Which of the following predicate logic formulae/formula is/are CORRECT representation(s) of the statement: ""Everyone has exactly one mother""? mother(y,x): y is the mother of x; noteq(x,y): x and y are not equal.","forall x exists y exists z (mother(y,x) AND NOT mother(z,x))","forall x exists y [mother(y,x) AND forall z(noteq(z,y) -> NOT mother(z,x))]","forall x forall y [mother(y,x) -> exists z(mother(z,x) AND NOT noteq(z,y))]","forall x exists y [mother(y,x) AND NOT exists z(noteq(z,y) AND mother(z,x))]","B,D",,,Hard,2025,2,PYQ;GATE 2025,,,,
114,Computer Science,Engineering Mathematics,msq,"A = {0,1,2,3,...} is the set of non-negative integers. Let F be the set of functions from A to itself. For any two functions, f1,f2 in F, we define (f1 O f2)(n) = f1(n) + f2(n) for every number n in A. Which of the following is/are CORRECT about the mathematical structure (F, O)?","(F,O) is an Abelian group.","(F,O) is an Abelian monoid.","(F,O) is a non-Abelian group.","(F,O) is a non-Abelian monoid.",B,,,Medium,2025,2,PYQ;GATE 2025,,,,
115,Computer Science,Theory of Computation,msq,"Consider the following deterministic finite automaton (DFA) defined over the alphabet, Sigma = {a,b} (3 states with transitions as shown in the figure: state1 self-loop on a, to state2 on b; state2 self-loop on b, to state3 on a, back to state1 on a; state3 to accepting state4 on b, back to state2 on b, and from state4 loop on a to state3, on b to state1). Identify which of the following language(s) is/are accepted by the given DFA.",The set of all strings containing an even number of b's.,The set of all strings containing the pattern bab.,The set of all strings ending with the pattern bab.,The set of all strings not containing the pattern aba.,C,,,Medium,2025,2,PYQ;GATE 2025,,,,
116,Computer Science,Operating System,nat,"A disk of size 512M bytes is divided into blocks of 64K bytes. A file is stored in the disk using linked allocation. In linked allocation, each data block reserves 4 bytes to store the pointer to the next data block. The link part of the last data block contains a NULL pointer (also of 4 bytes). Suppose a file of 1M bytes needs to be stored in the disk. Assume, 1K = 2^10 and 1M = 2^20. The amount of space in bytes that will be wasted due to internal fragmentation is ______.",,,,,,65468,0,Medium,2025,2,PYQ;GATE 2025,,,,
117,Computer Science,Compiler Design,nat,"Refer to the given 3-address code sequence (addresses 1001-1017 with two loops computing array a, plus a third loop). This code sequence is split into basic blocks. The number of basic blocks is ________.",,,,,,6,0,Medium,2025,2,PYQ;GATE 2025,,,,
118,Computer Science,Computer Organization and Architecture,nat,"A computer has a memory hierarchy consisting of two-level cache (L1 and L2) and a main memory. If the processor needs to access data from memory, it first looks into L1 cache. If the data is not found in L1 cache, it goes to L2 cache. If it fails to get the data from L2 cache, it goes to main memory, where the data is definitely available. L1: Hit rate=95%, Access time=10ns. L2: Hit rate=85%, Access time (including L1 miss penalty)=20ns. Main Memory: Access time (including L1 and L2 miss penalty)=200ns. The average memory access time in nanoseconds (ns) is ________.",,,,,,11.85,0.02,Medium,2025,2,PYQ;GATE 2025,,,,
119,Computer Science,Operating System,nat,"In optimal page replacement algorithm, information about all future page references is available to the operating system (OS). A modification of the optimal page replacement algorithm is as follows: The OS correctly predicts only up to next 4 page references (including the current page) at the time of allocating a frame to a page. A process accesses the pages in the following order of page numbers: 1,3,2,4,2,3,1,2,4,3,1,4. If the system has three memory frames that are initially empty, the number of page faults that will occur during execution of the process is ________.",,,,,,6,0,Hard,2025,2,PYQ;GATE 2025,,,,
120,Computer Science,Databases,nat,"Consider the following database tables of a sports league: player(pid,pname,age), coach(cid,cname), team(tid,tname,city,cid), members(pid,tid), with given instance data. SELECT MIN(P.age) FROM player P WHERE P.pid IN (SELECT M.pid FROM team T, coach C, members M WHERE C.cname='Mark' AND T.cid=C.cid AND M.tid=T.tid). The value returned by the given SQL query is ______.",,,,,,26,0,Medium,2025,2,PYQ;GATE 2025,,,,
121,Computer Science,Computer Networks,nat,Suppose a 5-bit message is transmitted from a source to a destination through a noisy channel. The probability that a bit of the message gets flipped during transmission is 0.01. Flipping of each bit is independent of one another. The probability that the message is delivered error-free to the destination is ______. (rounded off to three decimal places),,,,,,0.951,0.002,Easy,2025,2,PYQ;GATE 2025,,,,
122,Computer Science,Computer Networks,nat,"Suppose a message of size 15000 bytes is transmitted from a source to a destination using IPv4 protocol via two routers as shown in the figure. Each router has a defined maximum transmission unit (MTU) as shown in the figure (Router-1 MTU=5000 bytes, Router-2 MTU=3000 bytes), including IP header. The number of fragments that will be delivered to the destination is ________.",,,,,,7,0,Medium,2025,2,PYQ;GATE 2025,,,,
123,Computer Science,Engineering Mathematics,nat,"Consider a probability distribution given by the density function P(x). P(x) = C*x^2 for 1<=x<=4, 0 otherwise. The probability that x lies between 2 and 3, i.e., P(2<=x<=3) is __________. (rounded off to three decimal places)",,,,,,0.301,0.002,Medium,2025,2,PYQ;GATE 2025,,,,
124,Computer Science,Digital Logic,nat,"Consider a finite state machine (FSM) with one input X and one output f, represented by the given state transition table (states A-H with next-state/output columns). The minimum number of states required to realize this FSM is ________.",,,,,,5,0,Hard,2025,2,PYQ;GATE 2025,,,,
125,Computer Science,Digital Logic,nat,"Consider the given sequential circuit designed using D-Flip-flops (4 D flip-flops D0-D3 connected as a twisted-ring/Johnson-like counter, with feedback from Q3's complement region to D0, and Qi feeding Di+1). The circuit is initialized with some value (initial state). The number of distinct states the circuit will go through before returning back to the initial state is _________.",,,,,,8,1,Hard,2025,2,PYQ;GATE 2025,,,,
126,Computer Science,Programming and Data Structures,nat,"#include <stdio.h>
int foo(int S[],int size){ if(size==0) return 0; if(size==1) return 1; if(S[0]!=S[1]) return 1+foo(S+1,size-1); return foo(S+1,size-1); }
int main(){ int A[]={0,1,2,2,2,0,0,1,1}; printf(""%d"",foo(A,9)); return 0; }
The value printed by the given C program is _______.",,,,,,5,0,Medium,2025,2,PYQ;GATE 2025,,,,
127,Computer Science,Programming and Data Structures,nat,"Let LIST be a datatype for an implementation of a linked list (struct list {int data; struct list *next;}). Suppose a program has created two linked lists, L1 (9 nodes: 1,7,12,3,9,5,11,15,8) and L2 (7 nodes: 1,11,6,9,15,12,4). A C program segment traverses L1 using ptr1 and removes any node from L1 whose data value is found in L2 (using a find() function), otherwise advances ptr1. The number of nodes that will be there in L1 after the execution of the code segment is ________.",,,,,,5,0,Medium,2025,2,PYQ;GATE 2025,,,,
128,Computer Science,Programming and Data Structures,nat,"Consider the following C program: int gate(int n){ int d,t,newnum,turn; newnum=turn=0; t=1; while(n>=t) t*=10; t/=10; while(t>0){ d=n/t; n=n%t; t/=10; if(turn) newnum=10*newnum+d; turn=(turn+1)%2; } return newnum; } int main(){ printf(""%d"", gate(14362)); return 0; } The value printed by the given C program is _______.",,,,,,46,0,Hard,2025,2,PYQ;GATE 2025,,,,
129,Computer Science,Algorithms,nat,"The maximum value of x such that the edge between the nodes B and C is included in every minimum spanning tree of the given graph (A-B=7, A-D=6, A-C=1(diagonal), B-D=3(diagonal), B-C=x, D-C=8) is _________.",,,,,,5,0,Medium,2025,2,PYQ;GATE 2025,,,,
130,Computer Science,Programming and Data Structures,nat,"In a double hashing scheme, h1(k) = k mod 11 and h2(k) = 1 + (k mod 7) are the auxiliary hash functions. The size m of the hash table is 11. The hash function for the i-th probe in the open address table is [h1(k) + i*h2(k)] mod m. The following keys are inserted in the given order: 63, 50, 25, 79, 67, 24. The slot at which key 24 gets stored is ___________.",,,,,,10,1,Medium,2025,2,PYQ;GATE 2025,,,,
131,General Aptitude,General Aptitude,mcq,"Despite his initial hesitation, Rehman's _________ to contribute to the success of the project never wavered. Select the most appropriate option to complete the above sentence.",ambivalence,satisfaction,resolve,revolve,C,,,Easy,2025,1,PYQ;GATE 2025;Set 2,,,,
132,General Aptitude,General Aptitude,mcq,Bird : Nest :: Bee : _______ Select the correct option to complete the analogy.,Kennel,Hammock,Hive,Lair,C,,,Easy,2025,1,PYQ;GATE 2025;Set 2,,,,
133,General Aptitude,General Aptitude,mcq,"If Pe^x = Qe^-x for all real values of x, which one of the following statements is true?",P = Q = 0,P = Q = 1,P = 1; Q = -1,P/Q = 0,A,,,Medium,2025,1,PYQ;GATE 2025;Set 2,,,,
134,General Aptitude,General Aptitude,mcq,"The paper as shown in the figure is folded to make a cube where each square corresponds to a particular face of the cube. Which one of the following options correctly represents the cube? Note: The figures shown are representative. (Unfolded net has a dot on top face, triangle-outline, filled-triangle and circle on side faces as shown in figure.)",Option A,Option B,Option C,Option D,A,,,Medium,2025,1,PYQ;GATE 2025;Set 2,,,,
135,General Aptitude,General Aptitude,mcq,Let p1 and p2 denote two arbitrary prime numbers. Which one of the following statements is correct for all values of p1 and p2?,p1 + p2 is not a prime number.,p1*p2 is not a prime number.,p1 + p2 + 1 is a prime number.,p1*p2 + 1 is a prime number.,B,,,Medium,2025,1,PYQ;GATE 2025;Set 2,,,,
136,General Aptitude,General Aptitude,mcq,"Based only on the conversation below, identify the logically correct inference: ""Even if I had known that you were in the hospital, I would not have gone there to see you"", Ramya told Josephine.",Ramya knew that Josephine was in the hospital.,Ramya did not know that Josephine was in the hospital.,"Ramya and Josephine were once close friends; but now, they are not.",Josephine was in the hospital due to an injury to her leg.,B,,,Medium,2025,2,PYQ;GATE 2025;Set 2,,,,
137,General Aptitude,General Aptitude,mcq,"If IMAGE and FIELD are coded as FHBNJ and EMFJG respectively then, which one among the given options is the most appropriate code for BEACH?",CEADP,IDBFC,JGIBC,IBCEC,B,,,Medium,2025,2,PYQ;GATE 2025;Set 2,,,,
138,General Aptitude,General Aptitude,mcq,"Which one of the following options is correct for the given data in the table? Iteration(i): 0,1,2,3; Input(I): 20,-4,10,15; Output(X): 20,16,26,41; Output(Y): 20,-80,-800,-12000.",X(i) = X(i-1) + I(i); Y(i) = Y(i-1)*I(i); i>0,X(i) = X(i-1)*I(i); Y(i) = Y(i-1) + I(i); i>0,X(i) = X(i-1)*I(i); Y(i) = Y(i-1)*I(i); i>0,X(i) = X(i-1) + I(i); Y(i) = Y(i-1)*I(i-1); i>0,A,,,Hard,2025,2,PYQ;GATE 2025;Set 2,,,,
139,General Aptitude,General Aptitude,mcq,"In the given figure, PQRS is a square of side 2 cm and PLMN is a rectangle. The corner L of the rectangle is on the side QR. Side MN of the rectangle passes through the corner S of the square. What is the area (in cm^2) of the rectangle PLMN? Note: The figure shown is representative.",2*sqrt(2),2,8,4,D,,,Hard,2025,2,PYQ;GATE 2025;Set 2,,,,
140,General Aptitude,General Aptitude,mcq,"The diagram below shows a river system consisting of 7 segments, marked P, Q, R, S, T, U, and V. It splits the land into 5 zones, marked Z1, Z2, Z3, Z4, and Z5. We need to connect these zones using the least number of bridges. Out of the following options, which one is correct? Note: The figure shown is representative.","Bridges on P, Q, and T","Bridges on P, Q, S, and T","Bridges on Q, R, T, and V","Bridges on P, Q, S, U, and V",C,,,Hard,2025,2,PYQ;GATE 2025;Set 2,,,,
141,Computer Science,Engineering Mathematics,mcq,"If A = [[1,2],[2,-1]], then which ONE of the following is A^8?","[[25,0],[0,25]]","[[125,0],[0,125]]","[[625,0],[0,625]]","[[3125,0],[0,3125]]",C,,,Easy,2025,1,PYQ;GATE 2025;Set 2,,,,
142,Computer Science,Engineering Mathematics,mcq,"The value of x such that x > 1, satisfying the equation ∫[1 to x] t*ln(t) dt = 1/4 is",sqrt(e),e,e^2,e - 1,A,,,Medium,2025,1,PYQ;GATE 2025;Set 2,,,,
143,Computer Science,Programming and Data Structures,mcq,Consider a binary tree T in which every node has either zero or two children. Let n > 0 be the number of nodes in T. Which ONE of the following is the number of nodes in T that have exactly two children?,(n-2)/2,(n-1)/2,n/2,(n+1)/2,B,,,Easy,2025,1,PYQ;GATE 2025;Set 2,,,,
144,Computer Science,Engineering Mathematics,mcq,"Let L, M, and N be non-singular matrices of order 3 satisfying the equations L^2 = L^-1, M = L^8 and N = L^2. Which ONE of the following is the value of the determinant of (M - N)?",0,1,2,3,A,,,Medium,2025,1,PYQ;GATE 2025;Set 2,,,,
145,Computer Science,Engineering Mathematics,mcq,Let P(x) be an arbitrary predicate over the domain of natural numbers. Which ONE of the following statements is TRUE?,(P(0) ∧ (∀x [P(x) ⇒ P(x+1)])) ⇒ (∀x P(x)),(P(0) ∧ (∀x [P(x) ⇒ P(x-1)])) ⇒ (∀x P(x)),(P(1000) ∧ (∀x [P(x) ⇒ P(x-1)])) ⇒ (∀x P(x)),(P(1000) ∧ (∀x [P(x) ⇒ P(x+1)])) ⇒ (∀x P(x)),A,,,Medium,2025,1,PYQ;GATE 2025;Set 2,,,,
146,Computer Science,Computer Networks,mcq,Consider the following statements: (i) Address Resolution Protocol (ARP) provides a mapping from an IP address to the corresponding hardware (link-layer) address. (ii) A single TCP segment from a sender S to a receiver R cannot carry both data from S to R and acknowledgement for a segment from R to S. Which ONE of the following is CORRECT?,Both (i) and (ii) are TRUE,(i) is TRUE and (ii) is FALSE,(i) is FALSE and (ii) is TRUE,Both (i) and (ii) are FALSE,B,,,Easy,2025,1,PYQ;GATE 2025;Set 2,,,,
147,Computer Science,Computer Networks,mcq,"Consider the routing protocols given in List I and the names given in List II: List I: (i) Distance vector routing (ii) Link state routing. List II: (a) Bellman-Ford (b) Dijkstra. For matching of items in List I with those in List II, which ONE of the following options is CORRECT?",(i)-(a) and (ii)-(b),(i)-(a) and (ii)-(a),(i)-(b) and (ii)-(a),(i)-(b) and (ii)-(b),A,,,Easy,2025,1,PYQ;GATE 2025;Set 2,,,,
148,Computer Science,Computer Networks,mcq,A machine receives an IPv4 datagram. The protocol field of the IPv4 header has the protocol number of a protocol X. Which ONE of the following is NOT a possible candidate for X?,Internet Control Message Protocol (ICMP),Internet Group Management Protocol (IGMP),Open Shortest Path First (OSPF),Routing Information Protocol (RIP),D,,,Medium,2025,1,PYQ;GATE 2025;Set 2,,,,
149,Computer Science,Programming and Data Structures,mcq,"Consider the following C program: #include <stdio.h> void stringcopy(char *, char *); int main(){ char a[30] = ""@#Hello World!""; stringcopy(a, a + 2); printf(""%s\n"", a); return 0; } void stringcopy(char *s, char *t) { while(*t) *s++ = *t++; } Which ONE of the following will be the output of the program?",@#Hello World!,Hello World!,ello World!,Hello World!d!,D,,,Medium,2025,1,PYQ;GATE 2025;Set 2,,,,
150,Computer Science,Algorithms,mcq,Consider an unordered list of N distinct integers. What is the minimum number of element comparisons required to find an integer in the list that is NOT the largest in the list?,1,N-1,N,2N-1,A,,,Easy,2025,1,PYQ;GATE 2025;Set 2,,,,
151,Computer Science,Compiler Design,mcq,Consider the following statements about the use of backpatching in a compiler for intermediate code generation: (I) Backpatching can be used to generate code for Boolean expression in one pass. (II) Backpatching can be used to generate code for flow-of-control statements in one pass. Which ONE of the following options is CORRECT?,Only (I) is correct.,Only (II) is correct.,Both (I) and (II) are correct.,Neither (I) nor (II) is correct.,C,,,Medium,2025,1,PYQ;GATE 2025;Set 2,,,,
152,Computer Science,Compiler Design,mcq,Given the following syntax directed translation rules: Rule 1: R -> AB {B.i = R.i - 1; A.i = B.i; R.i = A.i + 1;} Rule 2: P -> CD {P.i = C.i + D.i; D.i = C.i + 2;} Rule 3: Q -> EF {Q.i = E.i + F.i;} Which ONE is the CORRECT option among the following?,Rule 1 is S-attributed and L-attributed; Rule 2 is S-attributed and not L-attributed; Rule 3 is neither S-attributed nor L-attributed,Rule 1 is neither S-attributed nor L-attributed; Rule 2 is S-attributed and L-attributed; Rule 3 is S-attributed and L-attributed,Rule 1 is neither S-attributed nor L-attributed; Rule 2 is not S-attributed and is L-attributed; Rule 3 is S-attributed and L-attributed,Rule 1 is S-attributed and not L-attributed; Rule 2 is not S-attributed and is L-attributed; Rule 3 is S-attributed and L-attributed,C,,,Hard,2025,1,PYQ;GATE 2025;Set 2,,,,
153,Computer Science,Computer Networks,mcq,Consider a network that uses Ethernet and IPv4. Assume that IPv4 headers do not use any options field. Each Ethernet frame can carry a maximum of 1500 bytes in its data field. A UDP segment is transmitted. The payload (data) in the UDP segment is 7488 bytes. Which ONE of the following choices has the CORRECT total number of fragments transmitted and the size of the last fragment including IPv4 header?,"5 fragments, 1488 bytes","6 fragments, 88 bytes","6 fragments, 108 bytes","6 fragments, 116 bytes",D,,,Medium,2025,1,PYQ;GATE 2025;Set 2,,,,
154,Computer Science,Theory of Computation,mcq,Which ONE of the following languages is accepted by a deterministic pushdown automaton?,Any regular language.,Any context-free language.,Any language accepted by a non-deterministic pushdown automaton.,Any decidable language.,A,,,Medium,2025,1,PYQ;GATE 2025;Set 2,,,,
155,Computer Science,Theory of Computation,mcq,"Let G1, G2 be Context Free Grammars (CFGs) and R be a regular expression. For a grammar G, let L(G) denote the language generated by G. Which ONE among the following questions is decidable?",Is L(G1) = L(G2)?,Is L(G1) ∩ L(G2) = ∅?,Is L(G1) = L(R)?,Is L(G1) = ∅?,D,,,Medium,2025,1,PYQ;GATE 2025;Set 2,,,,
156,Computer Science,Operating System,mcq,"Processes P1, P2, P3, P4 arrive in that order at times 0, 1, 2, and 8 milliseconds respectively, and have execution times of 10, 13, 6, and 9 milliseconds respectively. Shortest Remaining Time First (SRTF) algorithm is used as the CPU scheduling policy. Ignore context switching times. Which ONE of the following correctly gives the average turnaround time of the four processes in milliseconds?",22,15,37,19,D,,,Medium,2025,1,PYQ;GATE 2025;Set 2,,,,
157,Computer Science,Databases,mcq,"An audit of a banking transactions system has found that on an earlier occasion, two joint holders of account A attempted simultaneous transfers of Rs. 10000 each from account A to account B. Both transactions read the same value, Rs. 11000, as the initial balance in A and were allowed to go through. B was credited Rs. 10000 twice. A was debited only once and ended up with a balance of Rs. 1000. Which of the following properties is/are certain to have been violated by the system?",Atomicity,Consistency,Isolation,Durability,B,,,Easy,2025,1,PYQ;GATE 2025;Set 2,,,,
158,Computer Science,Computer Organization and Architecture,mcq,Which of the following is/are part of an Instruction Set Architecture of a processor?,The size of the cache memory,The clock frequency of the processor,The number of cache memory levels,The total number of registers,D,,,Easy,2025,1,PYQ;GATE 2025;Set 2,,,,
159,Computer Science,Algorithms,mcq,Which of the following statements regarding Breadth First Search (BFS) and Depth First Search (DFS) on an undirected simple graph G is/are TRUE?,A DFS tree of G is a Shortest Path tree of G.,Every non-tree edge of G with respect to a DFS tree is a forward/back edge.,"If (u,v) is a non-tree edge of G with respect to a BFS tree, then the distances from the source vertex s to u and v in the BFS tree are within ±1 of each other.",Both BFS and DFS can be used to find the connected components of G.,"B,C,D",,,Medium,2025,1,PYQ;GATE 2025;Set 2,,,,
160,Computer Science,Theory of Computation,mcq,"Consider the two lists List I and List II given below: List I: (i) Context free languages (ii) Recursive languages (iii) Regular languages. List II: (a) Closed under union (b) Not closed under complementation (c) Closed under intersection. For matching of items in List I with those in List II, which of the following option(s) is/are CORRECT?","(i)-(a), (ii)-(b), and (iii)-(c)","(i)-(b), (ii)-(a), and (iii)-(c)","(i)-(b), (ii)-(c), and (iii)-(a)","(i)-(a), (ii)-(c), and (iii)-(b)","B,C",,,Medium,2025,1,PYQ;GATE 2025;Set 2,,,,
161,Computer Science,Digital Logic,mcq,"Consider the following logic circuit diagram with inputs X and Y feeding an AND gate (Y, X inputs), an inverter (on X), and another AND gate combination, ORed together to give output F. Which is/are the CORRECT option(s) for the output function F?",X̅Y̅,X̅ + Y̅ + XY̅,X̅Y̅ + X̅ + XY̅,X + Y̅,"A,B,C",,,Hard,2025,1,PYQ;GATE 2025;Set 2,,,,
162,Computer Science,Computer Organization and Architecture,nat,The following two signed 2's complement numbers (multiplicand M and multiplier Q) are being multiplied using Booth's algorithm: M: 1100 1101 1110 1101 and Q: 1010 0100 1010 1010. The total number of addition and subtraction operations to be performed is ___________. (Answer in integer),,,,,,13,0,Hard,2025,1,PYQ;GATE 2025;Set 2,,,,
163,Computer Science,Programming and Data Structures,nat,"int x=126,y=105; do { if(x>y) x=x-y; else y=y-x; } while(x!=y); printf(""%d"",x); The output of the given C code segment is ________. (Answer in integer)",,,,,,21,0,Medium,2025,1,PYQ;GATE 2025;Set 2,,,,
164,Computer Science,Digital Logic,nat,"In a 4-bit ripple counter, if the period of the waveform at the last flip-flop is 64 microseconds, then the frequency of the ripple counter in kHz is ________. (Answer in integer)",,,,,,250,0,Easy,2025,1,PYQ;GATE 2025;Set 2,,,,
165,Computer Science,Programming and Data Structures,nat,"Suppose the values 10, -4, 15, 30, 20, 5, 60, 19 are inserted in that order into an initially empty binary search tree. Let T be the resulting binary search tree. The number of edges in the path from the node containing 19 to the root node of T is ___________. (Answer in integer)",,,,,,4,0,Medium,2025,1,PYQ;GATE 2025;Set 2,,,,
166,Computer Science,Computer Networks,mcq,"Suppose we are transmitting frames between two nodes using Stop-and-Wait protocol. The frame size is 3000 bits. The transmission rate of the channel is 2000 bps (bits/second) and the propagation delay between the two nodes is 100 milliseconds. Assume that the processing times at the source and destination are negligible. Also, assume that the size of the acknowledgement packet is negligible. Which ONE of the following most accurately gives the channel utilization for the above scenario in percentage?",88.23,93.75,85.44,66.67,D,,,Medium,2025,2,PYQ;GATE 2025;Set 2,,,,
